epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,9528.95,0.7954,1.73216,0.18932,0.65805,0.94971,0.72217,0.3307,0.37211,0.24842,0.78543,0.21874,0.21673,0.13061,0.84006,1.76512,0.17761,0.68316,0.95049,0.000335053,0.000335053,0.000335053
59,9729.09,0.80285,1.72143,0.19217,0.68479,0.95496,0.64808,0.32741,0.34891,0.22797,0.80194,0.16363,0.20165,0.12076,0.81522,1.78282,0.17814,0.67416,0.94978,0.00032744,0.00032744,0.00032744
60,9933.44,0.78722,1.74742,0.18938,0.64619,0.94556,0.72622,0.33734,0.33962,0.21882,0.63268,0.21653,0.20076,0.12182,0.81858,1.75026,0.17767,0.66829,0.9441,0.000319827,0.000319827,0.000319827
61,10144.3,0.79894,1.6846,0.19233,0.65778,0.95004,0.76853,0.32006,0.37038,0.26066,0.63856,0.25445,0.22061,0.12448,0.80874,1.76049,0.179,0.6692,0.94811,0.000312214,0.000312214,0.000312214
62,10359.3,0.80791,1.71384,0.19267,0.66086,0.96446,0.68,0.37349,0.35771,0.24268,0.59685,0.26897,0.18327,0.11578,0.835,1.72674,0.17815,0.65906,0.95118,0.000304601,0.000304601,0.000304601
63,10486.5,0.80541,1.63683,0.19086,0.68761,0.95749,0.69413,0.35837,0.37251,0.25928,0.61732,0.26181,0.24465,0.15387,0.8113,1.64359,0.17789,0.65964,0.94569,0.000296988,0.000296988,0.000296988
64,10670.8,0.79762,1.59935,0.188,0.64346,0.9547,0.72242,0.31746,0.37159,0.25298,0.77084,0.18603,0.20793,0.13846,0.83521,1.65621,0.17662,0.66943,0.95228,0.000289375,0.000289375,0.000289375
65,10785.6,0.7768,1.55692,0.1905,0.65,0.93948,0.91614,0.27357,0.35201,0.23359,0.82607,0.20785,0.21841,0.13129,0.82824,1.64301,0.17695,0.67233,0.94618,0.000281762,0.000281762,0.000281762
66,10917.3,0.7685,1.56867,0.18775,0.62913,0.93696,0.87206,0.30365,0.37552,0.23966,0.60054,0.23328,0.21004,0.13422,0.80663,1.6439,0.17595,0.65509,0.94393,0.000274148,0.000274148,0.000274148
67,11041.3,0.76899,1.55173,0.19177,0.64257,0.94399,0.62629,0.40333,0.41209,0.25065,0.77258,0.19914,0.20404,0.13516,0.80867,1.6351,0.17502,0.6615,0.94153,0.000266535,0.000266535,0.000266535
68,11205.9,0.76921,1.54888,0.18828,0.64899,0.94425,0.75871,0.3099,0.37385,0.25513,0.81384,0.21433,0.22686,0.14461,0.80104,1.6451,0.17535,0.65503,0.94121,0.000258922,0.000258922,0.000258922
69,11334.7,0.77767,1.52443,0.18475,0.63266,0.93936,0.81488,0.32968,0.38197,0.25478,0.71225,0.21457,0.20128,0.13622,0.81051,1.66526,0.17504,0.65411,0.94399,0.000251309,0.000251309,0.000251309
70,11490.6,0.77219,1.48684,0.19161,0.62332,0.93183,0.66262,0.42352,0.34482,0.23574,0.60098,0.24742,0.19885,0.12557,0.80245,1.63482,0.17525,0.65757,0.94169,0.000243696,0.000243696,0.000243696
71,11614.3,0.77777,1.46026,0.18587,0.62464,0.94065,0.60809,0.38551,0.37938,0.25532,0.54831,0.2603,0.23905,0.15628,0.80003,1.55664,0.17371,0.66421,0.93959,0.000236083,0.000236083,0.000236083
